rank,forma,colocacion,muestra,cubierto,gaps_servidos,exceso,n_gaps_error,densidad,incertidumbre_anchura_media,n_componentes_periodicas,conecta_a1,conecta_a2,mallabilidad,motivo_mallado
81,rectangular,6,1,0.17129788558105868,0.0,13.126416642560933,8,0.63372802734375,0.08015911281108856,,,,no_evaluada,
82,oblique,6,1,0.1633294273663681,0.0,6.469625379211278,6,0.53204345703125,0.06856246292591095,,,,no_evaluada,
83,hexagonal2,4,0,0.15613291140694469,0.0,7.91763578543743,7,0.2611083984375,0.033904120326042175,,,,no_evaluada,
84,hexagonal2,10,1,0.1523607444545793,0.0,5.032867926597127,4,0.34454345703125,0.06745942682027817,,,,no_evaluada,
85,rectangular,7,1,0.06549808653563952,0.0,6.4482436714922216,8,0.65802001953125,0.05283863842487335,,,,no_evaluada,
86,oblique,7,0,0.02868507742426221,0.0,6.245237107592657,6,0.42327880859375,0.04177442938089371,,,,no_evaluada,
87,hexagonal2,0,0,0.02272118244193654,0.0,0.7093360650887702,1,0.75738525390625,0.012672963552176952,,,,no_evaluada,
88,square,0,0,0.0,0.0,2.352979117822677,6,0.4346923828125,0.015830090269446373,,,,no_evaluada,
89,square,0,1,0.0,0.0,0.5223874740339499,0,0.765869140625,0.011417677626013756,,,,no_evaluada,
90,square,1,0,0.0,0.0,3.374421578819042,3,0.66754150390625,0.06309541314840317,,,,no_evaluada,
91,square,1,1,0.0,0.0,5.342962091382987,2,0.6358642578125,0.10858764499425888,,,,no_evaluada,
92,square,2,0,0.0,0.0,6.64966602461287,6,0.4814453125,0.055137306451797485,,,,no_evaluada,
93,square,4,0,0.0,0.0,6.283224204056009,8,0.49981689453125,0.029353780671954155,,,,no_evaluada,
94,square,4,1,0.0,0.0,9.579363058542876,4,0.57513427734375,0.083646759390831,,,,no_evaluada,
95,square,6,0,0.0,0.0,5.1425396062007955,3,0.33306884765625,0.05539321154356003,,,,no_evaluada,
96,square,9,0,0.0,0.0,5.36669066995436,3,0.49151611328125,0.06338941305875778,,,,no_evaluada,
97,square,10,0,0.0,0.0,3.1889903916689595,6,0.48236083984375,0.02902248501777649,,,,no_evaluada,
98,square,10,1,0.0,0.0,3.365854807924959,4,0.498779296875,0.034095801413059235,,,,no_evaluada,
99,square,11,0,0.0,0.0,0.9760992509248189,1,0.5906982421875,0.02473292499780655,,,,no_evaluada,
100,square,11,1,0.0,0.0,6.915486975857076,8,0.5802001953125,0.05009006708860397,,,,no_evaluada,
101,square,13,0,0.0,0.0,6.905298213530789,5,0.632568359375,0.04437568783760071,,,,no_evaluada,
102,square,13,1,0.0,0.0,1.4726636018702697,1,0.5928955078125,0.04937274754047394,,,,no_evaluada,
103,square,14,0,0.0,0.0,8.083342444772725,6,0.65521240234375,0.04978492483496666,,,,no_evaluada,
104,hexagonal,0,1,0.0,0.0,7.615092070241343,7,0.39794921875,0.054465312510728836,,,,no_evaluada,
105,hexagonal,1,0,0.0,0.0,8.235282076193737,6,0.5333251953125,0.04871317371726036,,,,no_evaluada,
